Rk,Home,Date,,Away,Result
1,ATL,2025-04-13,,ORL,W 117-105
2,BOS,2025-04-13,,CHO,W 93-86
3,CLE,2025-04-13,,IND,L 118-126 (2OT)
4,GSW,2025-04-13,,LAC,L 119-124 (OT)
5,HOU,2025-04-13,,DEN,L 111-126
6,MEM,2025-04-13,,DAL,W 132-97
7,MIA,2025-04-13,,WAS,L 118-119
8,MIL,2025-04-13,,DET,W 140-133 (OT)
9,MIN,2025-04-13,,UTA,W 116-105
10,BRK,2025-04-13,,NYK,L 105-113
11,NOP,2025-04-13,,OKC,L 100-115
12,PHI,2025-04-13,,CHI,L 102-122
13,POR,2025-04-13,,LAL,W 109-81
14,SAC,2025-04-13,,PHO,W 109-98
15,SAS,2025-04-13,,TOR,W 125-118
16,BOS,2025-04-11,,CHO,W 130-94
17,CHI,2025-04-11,,WAS,W 119-89
18,DAL,2025-04-11,,TOR,W 124-102
19,DEN,2025-04-11,,MEM,W 117-109
20,DET,2025-04-11,,MIL,L 119-125
21,IND,2025-04-11,,ORL,L 115-129
22,LAL,2025-04-11,,HOU,W 140-109
23,MIN,2025-04-11,,BRK,W 117-91
24,NOP,2025-04-11,,MIA,L 104-153
25,NYK,2025-04-11,,CLE,L 102-108
26,PHI,2025-04-11,,ATL,L 110-124
27,PHO,2025-04-11,,SAS,W 117-98
28,POR,2025-04-11,,GSW,L 86-103
29,SAC,2025-04-11,,LAC,L 100-101
30,UTA,2025-04-11,,OKC,L 111-145
31,DET,2025-04-10,,NYK,W 115-106
32,IND,2025-04-10,,CLE,W 114-112
33,MEM,2025-04-10,,MIN,L 125-141
34,MIL,2025-04-10,,NOP,W 136-111
35,BRK,2025-04-10,,ATL,L 109-133
36,CHI,2025-04-09,,MIA,W 119-111
37,DAL,2025-04-09,,LAL,L 97-112
38,GSW,2025-04-09,,SAS,L 111-114
39,LAC,2025-04-09,,HOU,W 134-117
40,ORL,2025-04-09,,BOS,W 96-76
41,PHO,2025-04-09,,OKC,L 112-125
42,SAC,2025-04-09,,DEN,L 116-124
43,TOR,2025-04-09,,CHO,W 126-96
44,UTA,2025-04-09,,POR,W 133-126 (OT)
45,WAS,2025-04-09,,PHI,L 103-122
46,CHO,2025-04-08,,MEM,L 100-124
47,CLE,2025-04-08,,CHI,W 135-113
48,IND,2025-04-08,,WAS,W 104-98
49,LAC,2025-04-08,,SAS,W 122-117
50,MIL,2025-04-08,,MIN,W 110-103
51,BRK,2025-04-08,,NOP,W 119-114
52,NYK,2025-04-08,,BOS,L 117-119 (OT)
53,OKC,2025-04-08,,LAL,W 136-120
54,ORL,2025-04-08,,ATL,W 119-112
55,PHO,2025-04-08,,GSW,L 95-133
56,DET,2025-04-07,,SAC,L 117-127
57,MIA,2025-04-07,,PHI,W 117-105
58,ATL,2025-04-06,,UTA,W 147-134
59,BOS,2025-04-06,,WAS,W 124-90
60,CHO,2025-04-06,,CHI,L 117-131
61,CLE,2025-04-06,,SAC,L 113-120
62,DEN,2025-04-06,,IND,L 120-125
63,GSW,2025-04-06,,HOU,L 96-106
64,BRK,2025-04-06,,TOR,L 109-120
65,NOP,2025-04-06,,MIL,L 107-111
66,NYK,2025-04-06,,PHO,W 112-98
67,OKC,2025-04-06,,LAL,L 99-126
68,POR,2025-04-06,,SAS,W 120-109
69,ATL,2025-04-05,,NYK,L 105-121
70,DET,2025-04-05,,MEM,L 103-109
71,LAC,2025-04-05,,DAL,W 135-104
72,MIA,2025-04-05,,MIL,L 115-121 (OT)
73,PHI,2025-04-05,,MIN,L 109-114
74,BOS,2025-04-04,,PHO,W 123-103
75,CHO,2025-04-04,,SAC,L 102-125
76,CHI,2025-04-04,,POR,W 118-113
77,GSW,2025-04-04,,DEN,W 118-104
78,HOU,2025-04-04,,OKC,W 125-111
79,IND,2025-04-04,,UTA,W 140-112
80,LAC,2025-04-04,,DAL,W 114-91
81,LAL,2025-04-04,,NOP,W 124-108
82,SAS,2025-04-04,,CLE,L 113-114
83,TOR,2025-04-04,,DET,L 105-117
84,LAL,2025-04-03,,GSW,L 116-123
85,MIA,2025-04-03,,MEM,L 108-110
86,BRK,2025-04-03,,MIN,L 90-105
87,PHI,2025-04-03,,MIL,L 113-126
88,TOR,2025-04-03,,POR,L 103-112
