Rk,Player,MP,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,PlayerID
1,Jahlil Okafor,3,2024-25,29,IND,1,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,C-F,okafoja01
2,Zyon Pullin,3,2024-25,23,MEM,3,0,0,1.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.000,.000,,,.000,.000,G,pullizy01
3,Alondes Williams,4,2024-25,25,DET,1,0,0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.000,1.000,1.000,,1.250,1.250,G,willial06
4,Jesse Edwards,5,2024-25,24,MIN,2,0,0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,,,,,,,C,edwarje01
5,James Wiseman,5,2024-25,23,IND,1,0,0,5.0,2.0,4.0,2.0,3.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,.500,.667,.000,1.000,.615,.500,C,wisemja01
6,Isaiah Stevens,6,2024-25,24,MIA,3,0,0,2.0,0.0,0.7,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.7,0.7,0.0,0.3,0.0,0.0,0.0,0.0,.000,.000,.000,,.000,.000,G,steveis01
7,Terry Taylor,6,2024-25,25,SAC,3,0,0,2.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,.000,.000,,,.000,.000,G-F,taylote01
8,Jalen McDaniels,7,2024-25,27,WAS,4,0,0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,,,,,,,F,mcdanja01
9,Riley Minix,7,2024-25,24,SAS,1,0,0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,.000,,.000,,.000,.000,G,minixri01
10,Terence Davis,8,2024-25,27,SAC,1,0,0,8.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,.000,.000,.000,,.000,.000,G,daviste02
11,Cui Yongxi,10,2024-25,21,BRK,5,0,0,2.0,0.2,1.4,0.2,0.8,0.0,0.6,0.2,0.4,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.6,.143,.250,.000,.500,.190,.143,G,cuiyo01
12,Mac McClung,10,2024-25,26,ORL,2,0,0,5.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,1.5,0.0,0.0,0.0,1.0,0.0,.000,.000,.000,,.000,.000,G,mccluma01
13,Quincy Olivari,10,2024-25,23,LAL,2,0,0,5.0,0.5,2.5,0.0,0.0,0.5,2.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.5,.200,,.200,,.300,.300,G,olivaqu01
14,Braxton Key,11,2024-25,27,GSW,3,0,0,3.7,0.0,1.3,0.0,1.0,0.0,0.3,1.0,2.0,0.3,0.3,0.7,0.0,0.7,0.0,0.3,0.0,1.0,.000,.000,.000,.500,.226,.000,F,keybr01
15,Skal Labissière,12,2024-25,28,SAC,4,0,0,3.0,0.5,1.0,0.3,0.8,0.3,0.3,0.0,0.0,0.3,0.5,0.8,0.3,0.0,0.0,0.0,0.3,1.3,.500,.333,1.000,,.625,.625,F,labissk01
16,Daishen Nix,13,2024-25,22,MIN,3,0,0,4.3,0.0,0.3,0.0,0.0,0.0,0.3,0.3,0.7,0.0,1.3,1.3,1.0,0.0,0.0,1.3,0.3,0.3,.000,,.000,.500,.266,.000,G,nixda01
17,Yuri Collins,16,2024-25,23,GSW,2,0,0,8.0,0.5,1.5,0.5,1.5,0.0,0.0,0.0,0.0,1.0,0.5,1.5,2.0,1.0,0.0,0.0,2.5,1.0,.333,.333,,,.333,.333,G,colliyu01
18,Tristen Newton,16,2024-25,23,INDMIN,8,0,0,2.0,0.1,1.0,0.1,0.6,0.0,0.4,0.1,0.1,0.3,0.3,0.5,0.3,0.1,0.0,0.3,0.5,0.4,.125,.200,.000,1.000,.178,.125,G,newtotr01
19,Ron Harper Jr.,17,2024-25,24,DET,1,0,0,17.0,1.0,8.0,1.0,2.0,0.0,6.0,2.0,2.0,4.0,3.0,7.0,2.0,0.0,0.0,0.0,0.0,4.0,.125,.500,.000,1.000,.225,.125,G-F,harpero02
20,Isaiah Mobley,17,2024-25,25,PHI,1,0,0,17.0,2.0,7.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,3.0,4.0,5.0,1.0,1.0,0.0,3.0,6.0,.286,.250,.333,.500,.381,.357,F,mobleis01
21,Taze Moore,20,2024-25,26,POR,2,0,0,10.0,1.0,5.0,0.5,3.0,0.5,2.0,0.5,1.0,2.0,2.0,4.0,0.5,1.0,0.0,1.0,0.0,3.0,.200,.167,.250,.500,.276,.250,G,mooreta02
22,Malevy Leons,21,2024-25,25,OKC,6,0,0,3.5,0.0,0.3,0.0,0.2,0.0,0.2,0.3,0.7,0.2,0.3,0.5,0.2,0.0,0.0,0.2,0.7,0.3,.000,.000,.000,.500,.266,.000,F,leonsma01
23,Adama Sanogo,21,2024-25,22,CHI,4,0,0,5.3,1.0,1.8,1.0,1.8,0.0,0.0,0.0,0.0,1.3,0.3,1.5,0.3,0.0,0.0,0.3,0.3,2.0,.571,.571,,,.571,.571,F,sanogad01
24,Tolu Smith,22,2024-25,24,DET,1,0,0,22.0,6.0,9.0,6.0,9.0,0.0,0.0,2.0,3.0,4.0,4.0,8.0,0.0,0.0,0.0,2.0,3.0,14.0,.667,.667,,.667,.678,.667,F,smithto05
25,Anton Watson,22,2024-25,24,NYK,9,0,0,2.4,0.4,1.0,0.4,0.9,0.0,0.1,0.0,0.0,0.1,0.2,0.3,0.2,0.1,0.0,0.2,0.3,0.9,.444,.500,.000,,.444,.444,F,watsoan02
26,Daniss Jenkins,23,2024-25,23,DET,7,0,0,3.3,0.4,1.4,0.3,0.4,0.1,1.0,0.0,0.3,0.0,0.3,0.3,0.4,0.0,0.0,0.1,0.3,1.0,.300,.667,.143,.000,.322,.350,G,jenkida01
27,Emanuel Miller,25,2024-25,24,CHI,6,0,0,4.2,0.7,1.3,0.7,1.2,0.0,0.2,0.3,0.3,0.7,0.7,1.3,0.3,0.2,0.0,0.0,0.5,1.7,.500,.571,.000,1.000,.563,.500,F,milleem01
28,Trentyn Flowers,27,2024-25,19,LAC,6,0,0,4.5,0.7,1.8,0.7,1.5,0.0,0.3,0.5,0.5,0.2,0.5,0.7,0.0,0.0,0.0,0.2,0.7,1.8,.364,.444,.000,1.000,.446,.364,G-F,flowetr01
29,Kevin McCullar Jr.,29,2024-25,23,NYK,4,0,0,7.3,0.5,1.8,0.5,1.5,0.0,0.3,0.5,0.5,0.0,2.0,2.0,0.5,0.3,0.3,0.0,1.5,1.5,.286,.333,.000,1.000,.381,.286,G,mcculke01
30,Jalen Bridges,30,2024-25,23,PHO,8,0,0,3.8,0.3,0.9,0.0,0.0,0.3,0.9,0.4,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,1.1,.286,,.286,.750,.514,.429,F,bridgja01
31,Jahmir Young,30,2024-25,24,CHI,6,0,0,5.0,0.7,0.8,0.5,0.5,0.2,0.3,0.3,0.3,0.2,0.3,0.5,1.0,0.0,0.0,0.2,0.3,1.8,.800,1.000,.500,1.000,.935,.900,G,youngja05
32,Ulrich Chomche,32,2024-25,19,TOR,7,0,0,4.6,0.3,0.7,0.3,0.7,0.0,0.0,0.1,0.3,0.6,0.6,1.1,0.3,0.0,0.1,0.3,0.7,0.7,.400,.400,,.500,.425,.400,F-C,chomcul01
33,Bryce McGowens,32,2024-25,22,POR,13,0,0,2.5,0.3,1.1,0.3,0.8,0.0,0.3,0.4,0.5,0.2,0.1,0.2,0.2,0.1,0.0,0.3,0.2,1.0,.286,.400,.000,.833,.391,.286,G-F,mcgowbr01
34,Leonard Miller,32,2024-25,21,MIN,13,0,0,2.5,0.5,1.2,0.5,0.8,0.0,0.4,0.6,0.6,0.2,0.6,0.8,0.0,0.2,0.1,0.2,0.2,1.5,.400,.600,.000,1.000,.540,.400,F,millele01
35,D.J. Carton,33,2024-25,24,TOR,4,0,0,8.3,0.3,1.8,0.3,1.0,0.0,0.8,0.3,0.3,0.0,1.0,1.0,0.8,0.5,0.0,1.0,0.3,0.8,.143,.250,.000,1.000,.202,.143,G,cartodj01
36,David Duke Jr.,34,2024-25,25,SAS,6,0,0,5.7,1.0,2.3,0.5,1.3,0.5,1.0,0.2,0.3,0.2,0.7,0.8,0.7,0.2,0.0,0.3,0.2,2.7,.429,.375,.500,.500,.538,.536,G,dukeda01
37,PJ Dozier,35,2024-25,28,MIN,9,0,0,3.9,0.2,0.3,0.0,0.0,0.2,0.3,0.1,0.7,0.1,0.4,0.6,0.6,0.1,0.0,0.1,0.3,0.8,.667,,.667,.167,.621,1.000,G,doziepj01
38,Harrison Ingram,35,2024-25,22,SAS,5,0,0,7.0,0.4,0.8,0.4,0.6,0.0,0.2,0.0,0.0,0.4,1.4,1.8,0.6,0.6,0.0,0.2,0.4,0.8,.500,.667,.000,,.500,.500,F,ingraha01
39,Miles Norris,35,2024-25,24,BOS,3,0,0,11.7,0.7,3.0,0.0,0.7,0.7,2.3,0.3,0.7,0.7,2.3,3.0,0.0,0.7,0.3,0.0,0.0,2.3,.222,.000,.286,.500,.354,.333,F,norrimi01
40,James Johnson,37,2024-25,37,IND,12,0,0,3.1,0.3,0.9,0.3,0.7,0.0,0.3,0.0,0.1,0.0,0.5,0.5,0.3,0.0,0.2,0.3,0.4,0.7,.364,.500,.000,.000,.350,.364,F,johnsja01
41,Bobi Klintman,42,2024-25,21,DET,8,0,0,5.3,0.8,1.3,0.5,0.6,0.3,0.6,0.1,0.3,0.1,0.8,0.9,0.9,0.3,0.1,0.1,1.0,1.9,.600,.800,.400,.500,.689,.700,F,klintbo01
42,Jack McVeigh,43,2024-25,28,HOU,9,0,0,4.8,0.6,1.9,0.1,0.4,0.4,1.4,0.0,0.0,0.2,0.3,0.6,0.1,0.0,0.2,0.2,0.3,1.6,.294,.250,.308,,.412,.412,F,mcveija01
43,Malachi Flynn,44,2024-25,26,CHO,4,0,0,11.0,1.3,3.3,1.0,2.3,0.3,1.0,1.3,1.5,0.8,1.0,1.8,1.8,0.8,0.0,1.0,1.0,4.0,.385,.444,.250,.833,.512,.423,G,flynnma01
44,Phillip Wheeler,44,2024-25,22,PHI,5,0,0,8.8,0.6,4.2,0.6,2.2,0.0,2.0,0.4,0.4,0.4,1.2,1.6,0.4,0.2,0.4,0.2,0.2,1.6,.143,.273,.000,1.000,.183,.143,F,wheelph02
45,Mason Jones,45,2024-25,26,SAC,10,0,0,4.5,0.9,1.8,0.8,1.0,0.1,0.8,0.4,0.5,0.2,0.7,0.9,1.1,0.0,0.1,0.1,0.3,2.3,.500,.800,.125,.800,.569,.528,G,jonesma05
46,Isaiah Crawford,46,2024-25,23,SAC,15,0,0,3.1,0.3,0.7,0.3,0.4,0.1,0.3,0.1,0.3,0.1,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.9,.455,.667,.200,.500,.509,.500,F,crawfis01
47,N'Faly Dante,51,2024-25,23,HOU,4,0,0,12.8,2.5,3.3,2.5,3.3,0.0,0.0,1.0,1.3,1.5,3.8,5.3,0.5,0.3,1.3,0.5,2.3,6.0,.769,.769,,.800,.789,.769,C,nfalyda01
48,Jackson Rowe,52,2024-25,28,GSW,6,0,0,8.7,1.3,2.8,0.8,1.2,0.5,1.7,0.5,1.0,0.5,1.3,1.8,0.7,0.7,0.0,0.2,0.7,3.7,.471,.714,.300,.500,.560,.559,F,roweja01
49,E.J. Liddell,53,2024-25,24,CHI,12,0,0,4.4,0.7,1.3,0.4,0.4,0.3,0.8,0.2,0.2,0.3,0.5,0.8,0.3,0.1,0.1,0.2,0.9,1.8,.533,1.000,.300,1.000,.661,.633,F,liddeej01
50,Jazian Gortman,57,2024-25,21,DAL,16,0,0,3.6,0.6,1.4,0.3,0.8,0.3,0.7,0.1,0.3,0.1,0.3,0.3,0.4,0.1,0.1,0.3,0.6,1.5,.391,.417,.364,.500,.485,.478,G,gortmja01
51,Liam Robbins,57,2024-25,25,MIL,13,0,0,4.4,0.2,0.6,0.2,0.5,0.0,0.2,0.4,0.8,0.5,0.4,0.9,0.2,0.2,0.2,0.5,0.7,0.7,.250,.333,.000,.500,.363,.250,F,robbili01
52,P.J. Tucker,58,2024-25,39,NYK,3,1,0,19.3,1.0,2.3,0.0,0.3,1.0,2.0,0.0,0.0,1.3,1.3,2.7,0.0,0.3,0.3,0.3,2.7,3.0,.429,.000,.500,,.643,.643,F,tuckepj01
53,Cam Christie,59,2024-25,19,LAC,13,0,0,4.5,0.5,1.8,0.4,0.8,0.2,1.0,0.2,0.3,0.2,0.7,0.9,0.5,0.4,0.1,0.2,0.3,1.4,.292,.455,.154,.500,.349,.333,G,chrisca02
54,Jamaree Bouyea,62,2024-25,25,MIL,5,1,0,12.4,1.2,2.4,1.0,1.4,0.2,1.0,0.8,1.2,0.2,0.8,1.0,2.0,0.8,0.4,1.6,0.4,3.4,.500,.714,.200,.667,.581,.542,G,bouyeja01
55,Nae'Qwan Tomlin,63,2024-25,24,CLE,5,1,0,12.6,2.6,6.4,2.2,4.4,0.4,2.0,1.6,2.2,1.8,2.4,4.2,0.4,0.0,0.2,0.4,1.8,7.2,.406,.500,.200,.727,.489,.438,F,tomlina01
56,PJ Hall,66,2024-25,22,DEN,19,0,0,3.5,0.7,1.3,0.6,0.8,0.1,0.4,0.2,0.2,0.3,0.8,1.2,0.2,0.0,0.2,0.1,0.6,1.7,.583,.750,.250,.750,.641,.625,F,hallpj01
57,Armel Traoré,67,2024-25,22,LAL,9,0,0,7.4,0.7,2.1,0.7,1.3,0.0,0.8,0.2,0.8,0.2,1.4,1.7,0.1,0.4,0.2,0.3,0.7,1.6,.316,.500,.000,.286,.317,.316,F,armeltr01
58,Matt Ryan,68,2024-25,27,NYK,19,0,0,3.6,0.5,1.6,0.2,0.6,0.3,1.0,0.1,0.1,0.0,0.4,0.4,0.2,0.1,0.0,0.2,0.1,1.5,.323,.333,.316,1.000,.439,.419,F,ryanma01
59,Josh Christopher,69,2024-25,23,MIA,14,0,0,4.9,0.8,2.2,0.6,1.4,0.1,0.8,0.3,0.4,0.0,0.6,0.6,0.6,0.4,0.2,0.4,0.1,2.0,.355,.450,.182,.667,.416,.387,G,chrisjo01
